1405,22.75,24.00,24.00,24.00,24.00,406,405,672
1942,22.75,24.00,24.00,24.00,24.00,381,385,664
1802933,21.00,23.50,23.50,23.50,23.50,409,423,671
3603909,20.00,23.00,23.00,23.00,23.00,419,425,666
5404886,19.50,22.75,22.75,22.75,22.75,421,427,667
7205861,19.50,22.50,22.50,22.50,22.50,419,428,673
9006837,19.25,22.25,22.25,22.25,22.25,417,433,667
10807814,19.00,22.00,22.00,22.00,22.00,418,435,667
12608790,19.00,22.00,22.00,22.00,22.00,420,434,667
14409765,18.75,21.75,21.75,21.75,21.75,428,425,666
16210742,18.75,21.75,21.75,21.75,21.75,429,426,668
18011726,18.75,21.50,21.50,21.50,21.50,426,425,667
19812720,18.50,21.50,21.50,21.50,21.50,425,431,667
21613697,18.50,21.50,21.50,21.50,21.50,432,430,668
23414673,18.75,21.75,21.75,21.75,21.75,427,432,667
25215649,18.75,21.50,21.50,21.50,21.50,427,432,667
27016625,18.75,21.75,21.75,21.75,21.75,433,432,672
28817601,18.75,21.75,21.75,21.75,21.75,429,434,667
1377,19.25,22.75,22.75,22.75,22.75,438,441,665
1801804,20.25,27.50,27.50,27.50,27.50,427,431,667
3602226,20.25,27.75,27.75,27.75,27.75,426,430,666
5402643,20.25,28.00,28.00,28.00,28.00,427,428,672
7203193,20.25,28.25,28.25,28.25,28.25,424,431,665
9003737,20.50,28.25,28.25,28.25,28.25,429,430,671
10804271,20.25,28.25,28.25,28.25,28.25,434,436,670
12604685,20.50,28.50,28.50,28.50,28.50,442,441,665
14405099,20.50,28.50,28.50,28.50,28.50,447,445,665
16205512,20.50,28.75,28.75,28.75,28.75,451,448,672
18005926,20.75,28.75,28.75,28.75,28.75,458,461,666
19806341,20.75,28.75,28.75,28.75,28.75,470,463,665
21606755,20.75,29.00,29.00,29.00,29.00,480,469,669
23407173,20.75,29.00,29.00,29.00,29.00,494,479,666
25207587,21.00,29.00,29.00,29.00,29.00,509,491,666
27008002,21.25,29.25,29.25,29.25,29.25,522,505,666
28808416,21.75,29.25,29.25,29.25,29.25,532,517,664
30608830,23.25,29.50,29.50,29.50,29.50,540,528,666
32409243,26.75,29.50,29.50,29.50,29.50,551,536,666
34209657,28.00,29.50,29.50,29.50,29.50,559,554,666
36010072,28.50,29.50,29.50,29.50,29.50,574,558,664
37810486,28.75,29.75,29.75,29.75,29.75,582,568,665
39610900,29.00,29.75,29.75,29.75,29.75,593,579,663
41411318,28.00,28.00,28.00,28.00,28.00,606,591,666
1376,28.00,28.00,28.00,28.00,28.00,621,608,668
1080,28.50,27.75,27.75,27.75,27.75,668,668,669
1801507,28.75,27.50,27.50,27.50,27.50,668,668,669
3601929,28.75,27.75,27.75,27.75,27.75,666,668,668
5402344,29.00,27.75,27.75,27.75,27.75,668,668,669
7202758,29.00,27.75,27.75,27.75,27.75,666,669,669
9003172,29.00,27.75,27.75,27.75,27.75,667,669,668
10803587,29.00,27.75,27.75,27.75,27.75,669,668,666
12604001,29.00,27.75,27.75,27.75,27.75,669,669,669
14404420,29.00,27.75,27.75,27.75,27.75,670,670,670
16204834,28.75,27.50,27.50,27.50,27.50,668,669,669
18005249,28.75,27.50,27.50,27.50,27.50,669,667,666
19805664,28.50,27.50,27.50,27.50,27.50,670,670,667
21606078,28.25,27.25,27.25,27.25,27.25,670,670,670
23406492,28.75,27.50,27.50,27.50,27.50,670,670,670
25206906,29.00,28.00,28.00,28.00,28.00,668,670,669
27007339,29.50,28.25,28.25,28.25,28.25,670,670,670
28807754,29.50,28.50,28.50,28.50,28.50,670,670,670
1371,30.00,127.75,127.75,127.75,127.75,670,671,670
1801803,27.00,27.00,27.00,27.00,27.00,671,671,671
3602225,26.00,26.00,26.00,26.00,26.00,671,671,671
5402639,25.75,25.50,25.50,25.50,25.50,671,671,671
7203053,25.25,25.25,25.25,25.25,25.25,671,670,668
9003467,25.00,25.25,25.25,25.25,25.25,672,672,672
10803881,25.00,25.00,25.00,25.00,25.00,672,672,672
12604296,25.00,25.00,25.00,25.00,25.00,672,672,672
14404711,24.75,25.00,25.00,25.00,25.00,672,672,672
16205125,24.75,25.00,25.00,25.00,25.00,672,672,672
18005539,24.75,25.00,25.00,25.00,25.00,672,672,672
19805954,24.75,25.00,25.00,25.00,25.00,672,673,672
21606373,24.75,25.00,25.00,25.00,25.00,672,673,673
23406787,24.75,25.00,25.00,25.00,25.00,673,673,673
25207201,24.75,25.00,25.00,25.00,25.00,673,673,673
27007616,24.75,25.00,25.00,25.00,25.00,673,673,672
28808030,24.75,25.00,25.00,25.00,25.00,673,673,673
30608444,24.75,25.00,25.00,25.00,25.00,673,673,673
32408858,24.75,25.00,25.00,25.00,25.00,673,673,673
34209273,24.75,25.00,25.00,25.00,25.00,673,673,673
